😀	Smileys & Emotion	grinning face	cheerful | cheery | face | grin | grinning | happy | laugh | nice | smile | smiling | teeth
😃	Smileys & Emotion	grinning face with big eyes	awesome | big | eyes | face | grin | grinning | happy | mouth | open | smile | smiling | teeth | yay
😄	Smileys & Emotion	grinning face with smiling eyes	eye | eyes | face | grin | grinning | happy | laugh | lol | mouth | open | smile | smiling
😁	Smileys & Emotion	beaming face with smiling eyes	beaming | eye | eyes | face | grin | grinning | happy | nice | smile | smiling | teeth
😆	Smileys & Emotion	grinning squinting face	closed | eyes | face | grinning | haha | hahaha | happy | laugh | lol | mouth | open | rofl | smile | smiling | squinting
😅	Smileys & Emotion	grinning face with sweat	cold | dejected | excited | face | grinning | mouth | nervous | open | smile | smiling | stress | stressed | sweat
🤣	Smileys & Emotion	rolling on the floor laughing	crying | face | floor | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | rolling | tear
😂	Smileys & Emotion	face with tears of joy	crying | face | feels | funny | haha | happy | hehe | hilarious | joy | laugh | lmao | lol | rofl | roflmao | tear
🙂	Smileys & Emotion	slightly smiling face	face | happy | slightly | smile | smiling
🙃	Smileys & Emotion	upside-down face	face | hehe | smile | upside-down | upside down | upside-down face
🫠	Smileys & Emotion	melting face	disappear | dissolve | embarrassed | face | haha | heat | hot | liquid | lol | melt | melting | sarcasm | sarcastic
😉	Smileys & Emotion	winking face	face | flirt | heartbreaker | sexy | slide | tease | wink | winking | winks
😊	Smileys & Emotion	smiling face with smiling eyes	blush | eye | eyes | face | glad | satisfied | smile | smiling
😇	Smileys & Emotion	smiling face with halo	angel | angelic | angels | blessed | face | fairy | fairytale | fantasy | halo | happy | innocent | peaceful | smile | smiling | spirit | tale
🥰	Smileys & Emotion	smiling face with hearts	3 | adore | crush | face | heart | hearts | ily | love | romance | smile | smiling | you
😍	Smileys & Emotion	smiling face with heart-eyes	143 | bae | eye | face | feels | heart-eyes | hearts | ily | kisses | love | romance | romantic | smile | xoxo | smiling face with heart eyes | smiling face with heart-eyes
🤩	Smileys & Emotion	star-struck	excited | eyes | face | grinning | smile | star | star-struck | starry-eyed | wow
😘	Smileys & Emotion	face blowing a kiss	adorbs | bae | blowing | face | flirt | heart | ily | kiss | love | lover | miss | muah | romantic | smooch | xoxo | you | mwah
😗	Smileys & Emotion	kissing face	143 | date | dating | face | flirt | ily | kiss | love | smooch | smooches | xoxo | you
☺️	Smileys & Emotion	smiling face	
☺	Smileys & Emotion	smiling face	face | happy | outlined | relaxed | smile | smiling
😚	Smileys & Emotion	kissing face with closed eyes	143 | bae | blush | closed | date | dating | eye | eyes | face | flirt | ily | kisses | kissing | smooches | xoxo
😙	Smileys & Emotion	kissing face with smiling eyes	143 | closed | date | dating | eye | eyes | face | flirt | ily | kiss | kisses | kissing | love | night | smile | smiling
🥲	Smileys & Emotion	smiling face with tear	face | glad | grateful | happy | joy | pain | proud | relieved | smile | smiley | smiling | tear | touched
😋	Smileys & Emotion	face savoring food	delicious | eat | face | food | full | hungry | savor | smile | smiling | tasty | um | yum | yummy | face savouring food | savouring | savoring
😛	Smileys & Emotion	face with tongue	awesome | cool | face | nice | party | stuck-out | sweet | tongue
😜	Smileys & Emotion	winking face with tongue	crazy | epic | eye | face | funny | joke | loopy | nutty | party | stuck-out | tongue | wacky | weirdo | wink | winking | yolo
🤪	Smileys & Emotion	zany face	crazy | eye | eyes | face | goofy | large | small | zany
😝	Smileys & Emotion	squinting face with tongue	closed | eye | eyes | face | gross | horrible | omg | squinting | stuck-out | taste | tongue | whatever | yolo
🤑	Smileys & Emotion	money-mouth face	face | money | money-mouth | mouth | paid
🤗	Smileys & Emotion	smiling face with open hands	face | hands | hug | hugging | open | smiling
🤭	Smileys & Emotion	face with hand over mouth	face | giggle | giggling | hand | mouth | oops | realization | secret | shock | sudden | surprise | whoops | embarrassed | realisation | face with hand over mouth
🫢	Smileys & Emotion	face with open eyes and hand over mouth	amazement | awe | disbelief | embarrass | eyes | face | gasp | hand | mouth | omg | open | over | quiet | scared | shock | surprise
🫣	Smileys & Emotion	face with peeking eye	captivated | embarrass | eye | face | hide | hiding | peek | peeking | peep | scared | shy | stare
🤫	Smileys & Emotion	shushing face	face | quiet | shh | shush | shushing | shooshing face | shushing face
🤔	Smileys & Emotion	thinking face	chin | consider | face | hmm | ponder | pondering | thinking | wondering
🫡	Smileys & Emotion	saluting face	face | good | luck | ma’am | ok | respect | salute | saluting | sir | troops | yes
🤐	Smileys & Emotion	zipper-mouth face	face | keep | mouth | quiet | secret | shut | zip | zipper | zipper-mouth
🤨	Smileys & Emotion	face with raised eyebrow	disapproval | disbelief | distrust | emoji | eyebrow | face | hmm | mild | raised | skeptic | skeptical | skepticism | surprise | what | sceptic | sceptical | scepticism
😐	Smileys & Emotion	neutral face	awkward | blank | deadpan | expressionless | face | fine | jealous | meh | neutral | oh | shade | straight | unamused | unhappy | unimpressed | whatever
😑	Smileys & Emotion	expressionless face	awkward | dead | expressionless | face | fine | inexpressive | jealous | meh | not | oh | omg | straight | uh | unhappy | unimpressed | whatever
😶	Smileys & Emotion	face without mouth	awkward | blank | expressionless | face | mouth | mouthless | mute | quiet | secret | silence | silent | speechless
🫥	Smileys & Emotion	dotted line face	depressed | disappear | dotted | face | hidden | hide | introvert | invisible | line | meh | whatever | wtv | dotted line face | dotted-line face
😶‍🌫️	Smileys & Emotion	face in clouds	
😶‍🌫	Smileys & Emotion	face in clouds	absentminded | clouds | face | fog | head | absent-minded | face in clouds | face in the fog | head in clouds
😏	Smileys & Emotion	smirking face	boss | dapper | face | flirt | homie | kidding | leer | shade | slick | sly | smirk | smug | snicker | suave | suspicious | swag
😒	Smileys & Emotion	unamused face	... | bored | face | fine | jealous | jel | jelly | pissed | smh | ugh | uhh | unamused | unhappy | weird | whatever
🙄	Smileys & Emotion	face with rolling eyes	eyeroll | eyes | face | rolling | shade | ugh | whatever
😬	Smileys & Emotion	grimacing face	awk | awkward | dentist | face | grimace | grimacing | grinning | smile | smiling
😮‍💨	Smileys & Emotion	face exhaling	blow | blowing | exhale | exhaling | exhausted | face | gasp | groan | relief | sigh | smiley | smoke | whisper | whistle
🤥	Smileys & Emotion	lying face	face | liar | lie | lying | pinocchio | lying face | pinocchio
🫨	Smileys & Emotion	shaking face	crazy | daze | earthquake | face | omg | panic | shaking | shock | surprise | vibrate | whoa | wow
🙂‍↔️	Smileys & Emotion	head shaking horizontally	
🙂‍↔	Smileys & Emotion	head shaking horizontally	head | horizontally | no | shake | shaking
🙂‍↕️	Smileys & Emotion	head shaking vertically	
🙂‍↕	Smileys & Emotion	head shaking vertically	head | nod | shaking | vertically | yes
😌	Smileys & Emotion	relieved face	calm | face | peace | relief | relieved | zen
😔	Smileys & Emotion	pensive face	awful | bored | dejected | died | disappointed | face | losing | lost | pensive | sad | sucks
😪	Smileys & Emotion	sleepy face	crying | face | good | night | sad | sleep | sleeping | sleepy | tired
🤤	Smileys & Emotion	drooling face	drooling | face
😴	Smileys & Emotion	sleeping face	bed | bedtime | face | good | goodnight | nap | night | sleep | sleeping | tired | whatever | yawn | zzz | good night | sleeping face | zzz
🫩	Smileys & Emotion	face with bags under eyes	bags | bored | exhausted | eyes | face | fatigued | late | sleepy | tired | weary
😷	Smileys & Emotion	face with medical mask	cold | dentist | dermatologist | doctor | dr | face | germs | mask | medical | medicine | sick | poorly | face with medical mask | ill
🤒	Smileys & Emotion	face with thermometer	face | ill | sick | thermometer
🤕	Smileys & Emotion	face with head-bandage	bandage | face | head-bandage | hurt | injury | ouch | face with head bandage | face with head-bandage
🤢	Smileys & Emotion	nauseated face	face | gross | nasty | nauseated | sick | vomit
🤮	Smileys & Emotion	face vomiting	barf | ew | face | gross | puke | sick | spew | throw | up | vomit | vomiting
🤧	Smileys & Emotion	sneezing face	face | fever | flu | gesundheit | sick | sneeze | sneezing | bless you | sneezing face
🥵	Smileys & Emotion	hot face	dying | face | feverish | heat | hot | panting | red-faced | stroke | sweating | tongue | flushed | heat stroke | hot face
🥶	Smileys & Emotion	cold face	blue | blue-faced | cold | face | freezing | frostbite | icicles | subzero | teeth
🥴	Smileys & Emotion	woozy face	dizzy | drunk | eyes | face | intoxicated | mouth | tipsy | uneven | wavy | woozy
😵	Smileys & Emotion	face with crossed-out eyes	crossed-out | dead | dizzy | eyes | face | feels | knocked | out | sick | tired
😵‍💫	Smileys & Emotion	face with spiral eyes	confused | dizzy | eyes | face | hypnotized | omg | smiley | spiral | trouble | whoa | woah | woozy | hypnotised
🤯	Smileys & Emotion	exploding head	blown | explode | exploding | head | mind | mindblown | no | shocked | way
🤠	Smileys & Emotion	cowboy hat face	cowboy | cowgirl | face | hat | face with cowboy hat
🥳	Smileys & Emotion	partying face	bday | birthday | celebrate | celebration | excited | face | happy | hat | hooray | horn | party | partying
🥸	Smileys & Emotion	disguised face	disguise | eyebrow | face | glasses | incognito | moustache | mustache | nose | person | spy | tache | tash
😎	Smileys & Emotion	smiling face with sunglasses	awesome | beach | bright | bro | chilling | cool | face | rad | relaxed | shades | slay | smile | style | sunglasses | swag | win
🤓	Smileys & Emotion	nerd face	brainy | clever | expert | face | geek | gifted | glasses | intelligent | nerd | smart
🧐	Smileys & Emotion	face with monocle	classy | face | fancy | monocle | rich | stuffy | wealthy
😕	Smileys & Emotion	confused face	befuddled | confused | confusing | dunno | face | frown | hm | meh | not | sad | sorry | sure
🫤	Smileys & Emotion	face with diagonal mouth	confused | confusion | diagonal | disappointed | doubt | doubtful | face | frustrated | frustration | meh | mouth | skeptical | unsure | whatever | wtv | face with diagonal mouth | sceptical
😟	Smileys & Emotion	worried face	anxious | butterflies | face | nerves | nervous | sad | stress | stressed | surprised | worried | worry
🙁	Smileys & Emotion	slightly frowning face	face | frown | frowning | sad | slightly
☹️	Smileys & Emotion	frowning face	
☹	Smileys & Emotion	frowning face	face | frown | frowning | sad
😮	Smileys & Emotion	face with open mouth	believe | face | forgot | mouth | omg | open | shocked | surprised | sympathy | unbelievable | unreal | whoa | wow | you | woah
😯	Smileys & Emotion	hushed face	epic | face | hushed | omg | stunned | surprised | whoa | woah
😲	Smileys & Emotion	astonished face	astonished | cost | face | no | omg | shocked | totally | way
😳	Smileys & Emotion	flushed face	amazed | awkward | crazy | dazed | dead | disbelief | embarrassed | face | flushed | geez | heat | hot | impressed | jeez | what | wow
🥺	Smileys & Emotion	pleading face	begging | big | eyes | face | mercy | not | pleading | please | pretty | puppy | sad | why
🥹	Smileys & Emotion	face holding back tears	admiration | aww | back | cry | embarrassed | face | feelings | grateful | gratitude | holding | joy | please | proud | resist | sad | tears
😦	Smileys & Emotion	frowning face with open mouth	caught | face | frown | frowning | guard | mouth | open | scared | scary | surprise | what | wow
😧	Smileys & Emotion	anguished face	anguished | face | forgot | scared | scary | stressed | surprise | unhappy | what | wow
😨	Smileys & Emotion	fearful face	afraid | anxious | blame | face | fear | fearful | scared | worried
😰	Smileys & Emotion	anxious face with sweat	anxious | blue | cold | eek | face | mouth | nervous | open | rushed | scared | sweat | yikes
😥	Smileys & Emotion	sad but relieved face	anxious | call | close | complicated | disappointed | face | not | relieved | sad | sweat | time | whew
😢	Smileys & Emotion	crying face	awful | cry | crying | face | feels | miss | sad | tear | triste | unhappy
😭	Smileys & Emotion	loudly crying face	bawling | cry | crying | face | loudly | sad | sob | tear | tears | unhappy
😱	Smileys & Emotion	face screaming in fear	epic | face | fear | fearful | munch | scared | scream | screamer | screaming | shocked | surprised | woah | face screaming in fear | munch
😖	Smileys & Emotion	confounded face	annoyed | confounded | confused | cringe | distraught | face | feels | frustrated | mad | sad
😣	Smileys & Emotion	persevering face	concentrate | concentration | face | focus | headache | persevere | persevering
😞	Smileys & Emotion	disappointed face	awful | blame | dejected | disappointed | face | fail | losing | sad | unhappy
😓	Smileys & Emotion	downcast face with sweat	close | cold | downcast | face | feels | headache | nervous | sad | scared | sweat | yikes
😩	Smileys & Emotion	weary face	crying | face | fail | feels | hungry | mad | nooo | sad | sleepy | tired | unhappy | weary
😫	Smileys & Emotion	tired face	cost | face | feels | nap | sad | sneeze | tired
🥱	Smileys & Emotion	yawning face	bedtime | bored | face | goodnight | nap | night | sleep | sleepy | tired | whatever | yawn | yawning | zzz
😤	Smileys & Emotion	face with steam from nose	anger | angry | face | feels | fume | fuming | furious | fury | mad | nose | steam | triumph | unhappy | won | frustration | face with steam from nose
😡	Smileys & Emotion	enraged face	anger | angry | enraged | face | feels | mad | maddening | pouting | rage | red | shade | unhappy | upset
😠	Smileys & Emotion	angry face	anger | angry | blame | face | feels | frustrated | mad | maddening | rage | shade | unhappy | upset
🤬	Smileys & Emotion	face with symbols on mouth	censor | cursing | cussing | face | mad | mouth | pissed | swearing | symbols
😈	Smileys & Emotion	smiling face with horns	demon | devil | evil | face | fairy | fairytale | fantasy | horns | purple | shade | smile | smiling | tale | smiling face with horns
👿	Smileys & Emotion	angry face with horns	angry | demon | devil | evil | face | fairy | fairytale | fantasy | horns | imp | mischievous | purple | shade | tale
💀	Smileys & Emotion	skull	body | dead | death | face | fairy | fairytale | i’m | lmao | monster | skull | tale | yolo
☠️	Smileys & Emotion	skull and crossbones	
☠	Smileys & Emotion	skull and crossbones	bone | crossbones | dead | death | face | monster | skull
💩	Smileys & Emotion	pile of poo	bs | comic | doo | dung | face | fml | monster | pile | poo | poop | smelly | smh | stink | stinks | stinky | turd
🤡	Smileys & Emotion	clown face	clown | face
👹	Smileys & Emotion	ogre	creature | devil | face | fairy | fairytale | fantasy | mask | monster | ogre | scary | tale
